# Pick And Place List
# eMail=
#
# Project=complete circuit
# Date=10:09:43
# CreatedBy=Fritzing 1.0.7.2026-04-14.CD-2576-0-394a8bb4
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB. Rotation in degree (0-360, math. pos.)
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
OLED I2C1,";;;;;;;;","",70.7149,614.16,90,Top,MANUAL
Via2,";;;;;;;;","",344,414.197,0,Top,MANUAL
Via6,";;;;;;;;","",488,286.197,0,Top,MANUAL
Via5,";;;;;;;;","",776,222.197,0,Top,MANUAL
Via1,";;;;;;;;","",520,606.197,0,Top,MANUAL
Via3,";;;;;;;;","",248,958.197,0,Top,MANUAL
Via4,";;;;;;;;","",744,894.197,0,Top,MANUAL
AMP1,";;;;;;;;","",1736.49,484.276,90,Top,MANUAL
SW1,";;;;;;;;","screwterminal-3.5mm-2_lock",1158.53,227.281,0,Top,SMT
JP1,";;;;;;;;","jst-4-pth",2372.23,585.549,90,Top,SMT
R10,"150;;;;;0.25W;;;","THT",444.843,183.274,0,Top,THT
R13,"1k;;;;;0.25W;;;","THT",451.142,281.699,180,Top,THT
R8,"270;;;;;0.25W;;;","THT",451.142,399.809,180,Top,THT
R9,"270;;;;;0.25W;;;","THT",444.843,487.123,0,Top,THT
R11,"150;;;;;0.25W;;;","THT",444.843,585.549,0,Top,THT
C9,";10nF;;35V;;;;;","100 mil [THT, multilayer]",298.42,802.084,0,Top,THT
R12,"10k;;;;;0.25W;;;","THT",451.142,683.974,180,Top,THT
C8,";10nF;;35V;;;;;","100 mil [THT, multilayer]",899.786,261.718,90,Top,THT
C13,";1µF;;35V;;;;;","100 mil [THT, electrolytic]",871.046,506.808,180,Top,THT
R14,";;;;;0.25W;;;","THT",592.306,802.084,0,Top,THT
C11,";1µF;;35V;;;;;","100 mil [THT, electrolytic]",1175.38,517.438,90,Top,THT
C12,";100nF;;35V;;;;;","100 mil [THT, multilayer]",939.156,810.954,0,Top,THT
C10,";1µF;;35V;;;;;","100 mil [THT, electrolytic]",1195.06,793.029,90,Top,THT
J1,";;;;;;;;","THT",1276.56,979.248,90,Top,THT
J2,";;;;;;;;","THT",1276.56,1086.25,90,Top,THT
